Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.9583333333333334,0.9596915945661978,0.9583333333333334,0.9578941664106286
Decision Tree,0.75,0.749954366473708,0.75,0.747743369172302
Random Forest,0.9479166666666666,0.9503449572894017,0.9479166666666666,0.9469345190232316
